assemblyId,candidateName,party_name,symbol
1,Aarav Sharma,Janata Vikas Party,party1.png
1,Priya Patel,National Progress Front,party2.png
2,Rohan Das,United People's Alliance,party3.jpg
2,Sunita Devi,Democratic Rights Party,party4.jpeg
2,Anil Kumar,Swadeshi Morcha,party5.png
2,Meera Singh,Federal Democratic Party,party6.png
1,Vikram Rathore,All India People's Front,party7.jpeg
1,Amit Singh,Progressive Alliance of India,party8.jpeg
2,Neha Gupta,Indian National Union,party9.png
102,Rajesh Kumar,Lok Shakti Dal,party10.jpeg
